Colonia,Alcaldía,lat,lon,hospital_dist(km),pharmacy_dist(km),clinic_dist(km),dentist_dist(km),doctors_dist(km),convenience_dist(km),supermarket_dist(km),butcher_dist(km),marketplace_dist(km),greengrocer_dist(km),mall_dist(km),school_dist(km),university_dist(km),kindergarten_dist(km),bank_dist(km),atm_dist(km),target
TORRES TOREO,MIGUEL HIDALGO,19.458485868,-99.211698013,0.9970771523486184,0.6895316839337075,1.4823302689080704,2.725676221906177,2.736795536892684,0.9778012817424412,0.4324722943379683,3.466242190787151,2.097441751983087,3.3229700976791365,1.0618347328891025,0.6445086688285062,4.377841998341515,2.815767990654793,1.1068605423637763,1.547844558755886,18151.0
TORRES SAN PEDRO (U HAB),ALVARO OBREGON,19.391628255,-99.193038057,0.6084506800677464,0.484888670005381,1.9263559282137317,1.4580133855682025,1.4199120801896865,0.81476652441466,0.6390425602788619,1.2369131958391175,0.969051959569043,1.3935914248108892,3.63145253222409,0.5178727270461887,3.4332031360255244,1.3991404244046632,0.3755082155368485,0.768537580466561,26154.0
TORRES LINDAVISTA (FRACC),GUSTAVO A. MADERO,19.511128544,-99.142788093,0.6274451512445318,0.2475500437547661,0.4757625272431157,0.7432543048393914,0.8836873738095276,0.2469661572535345,0.6948398076642677,0.8546190430503837,2.966234936630592,0.766928759762117,7.363229058566748,0.4985715662472755,5.9259016160277005,1.8162406569041776,0.614070153619705,0.7845291949606793,65102.0
TORRES DE POTRERO,ALVARO OBREGON,19.329655783,-99.250997704,1.6957587716369142,1.355477624102071,4.291686660659623,1.6155341636454148,5.302893109399752,1.5107879696215432,0.5124832868301165,2.5010617530272907,4.241483481412902,1.82784389379112,1.3338855676307984,0.6348114109833456,3.441941517397776,2.1815717587916725,1.3405960755586654,3.2250460805202503,37462.578947368
TORRES DE PADIERNA,TLALPAN,19.281296732,-99.228197172,1.0418870050826292,1.123724168410498,1.1131429673936295,1.4127624585545349,6.326668375458357,0.4807212907192655,1.2985884124584797,0.6142098080266796,6.809069560069771,3.5343055108220347,2.7908371463374557,1.2591319984737197,3.4469834349949733,3.177404182111512,3.3627355853584517,5.566364780234597,23000.0
TORRES DE MIXCOAC (U HAB),ALVARO OBREGON,19.371393107,-99.192949435,0.7829893217173394,0.4925520273133562,2.8136714216089915,0.4957253453618591,1.6556930463467947,0.6300747202643057,0.8130921122665528,2.2494201948482675,2.077536958145332,0.7394126689408261,1.44493393986695,0.3408977809915618,2.024108589649277,2.612157149451511,0.5270877427945225,0.9040181127805188,32600.0
TORRE BLANCA,MIGUEL HIDALGO,19.458193552,-99.193790789,0.970246726211036,0.346157594973965,0.8128766817542079,1.824055546555983,2.31624590528671,0.6401918347055042,0.2340832589217319,3.066156549986626,0.4208881617184932,1.569091466305827,2.6535474763336837,0.3486295494745504,4.406290515416592,2.170310847219765,0.655720109031815,1.583258189841394,30528.0
TORIELLO GUERRA,TLALPAN,19.296465108,-99.166480202,0.543790996533141,0.7762934855936259,0.7646369630911664,1.4411300635561188,0.5333681596444989,0.5034213610322494,0.9988420749810132,1.4422719323160555,1.7220280625327458,1.4177137316193014,5.257489006510953,0.6728514158756281,0.824919494879617,1.1227546649751363,0.7964966635542302,0.9170578375746758,41623.857142857
TLAZINTLA,IZTACALCO,19.39608315,-99.111902608,0.769611658461056,0.9701904262029756,1.8794599617445256,1.034810200592946,2.0134729746330504,1.316633440614353,0.634394914626033,0.3246995548777338,1.7040976606163671,3.368552349621704,4.872309114215828,1.010213229782322,2.15347355022228,3.234296648778692,0.2777892475676983,1.5317988391258135,15000.0
TLATILCO,AZCAPOTZALCO,19.460874131,-99.162446167,1.2658337270934918,0.7020504780765231,1.4132205592932052,1.5570544545482017,0.2468238131207996,0.7760591745344024,0.5597219410857381,2.5950500143831605,1.0182714014860057,1.2274237244938606,4.022726486834546,0.6715344153352133,2.724693615890293,1.4788454963886029,0.6739410399353017,0.744253209233442,22813.0
