Colonia,Alcaldía,lat,lon,hospital_near,hospital_dist(km),pharmacy_near,pharmacy_dist(km),clinic_near,clinic_dist(km),dentist_near,dentist_dist(km),doctors_near,doctors_dist(km),convenience_near,convenience_dist(km),supermarket_near,supermarket_dist(km),butcher_near,butcher_dist(km),marketplace_near,marketplace_dist(km),greengrocer_near,greengrocer_dist(km),mall_near,mall_dist(km),school_near,school_dist(km),university_near,university_dist(km),kindergarten_near,kindergarten_dist(km),bank_near,bank_dist(km),atm_near,atm_dist(km),target
VILLA CENTROAMERICANA (U HAB),TLAHUAC,19.28388741,-99.054713307,81,4.275636073157934,385,1.9691246995792948,21,5.89050061441931,1,2.2122251012808736,5,7.961576235238562,1149,2.2263463769285567,124,1.1084404040098468,58,2.9052277202925465,74,4.3452397428632805,41,2.7993725575150545,2,8.003542271828879,400,2.5435796020056634,79,7.930118265524576,30,3.8456388910510793,473,2.1567889920058074,37,7.764015584464124,11833.0
VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,19.304301386,-99.141777177,100,1.3616657687426437,242,0.7366292194284164,17,1.2010528879289266,22,0.8284167626419051,21,0.7408243974893345,472,0.5883187308663507,207,0.6767703663636295,14,1.691506198780465,10,2.0956999848804916,10,2.226469581254109,21,5.259555030005211,230,0.5298107930755076,11,0.9705408414794318,11,1.6623837186792116,373,0.3967782197710116,23,1.393956815687461,36633.375
VIADUCTO PIEDAD,IZTACALCO,19.401198011,-99.130375509,21,1.2531141905131005,447,1.2601434455654326,64,1.550325640203797,3,1.5820259461307231,62,0.6102173159375928,36,0.5086812742064312,262,1.1293742784019334,8,1.6521824683382593,69,2.0152960885821636,8,2.1588123605236924,1,2.8615791775914468,409,0.7170254580355292,67,1.1882914557366706,20,1.6201920252964357,276,0.6426613112745408,25,1.581391851148668,39092.888888889
VIADUCTO  - BALBUENA )CONJ HAB),VENUSTIANO CARRANZA,19.407300627,-99.109081233,41,1.053194247197194,517,0.591229657367075,64,1.2247934139586156,28,1.5003651522740566,17,2.1281774279711008,1112,0.629944345081189,353,0.4775497492439504,59,1.5833972078848857,56,2.530920109266407,25,2.7516668799514052,24,4.058381831999727,321,1.179091955799794,16,2.2393249801917783,34,3.8133015459538764,59,1.001937403652384,91,1.2576525144631319,25667.5
VERONICA ANZURES,MIGUEL HIDALGO,19.435762803,-99.174633236,101,0.7478687603623435,285,0.04000646059866042,48,1.6616046156448228,66,2.2981226503432586,71,1.810127762662991,874,0.16775465801495726,400,0.597086005246202,10,2.3713450773369966,13,1.9747776806819162,22,1.431246410752347,19,1.3144876945262522,83,0.827352225388724,6,1.692672978676947,42,1.4826238053120537,130,0.10057362404157795,57,1.3387348470760954,42186.785714286
VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,19.302851386,-99.137333192,100,1.0265204008454742,242,0.34160681356431694,17,0.7968418730195359,22,0.5437093436442837,21,0.5902916223925175,491,0.5868476971753315,207,0.8968514771413258,14,1.2594626707825547,10,2.1049125905619124,10,2.7194415253186004,21,5.496983671908189,230,0.1992795198894986,11,1.1826608598948338,11,1.6933478953132581,350,0.3952619740241731,23,1.55734318353516,41144.0
VENTURA PEREZ DE ALBA,MIGUEL HIDALGO,19.453051873,-99.195576745,89,0.7987583938175252,223,0.7372055489707082,2,0.35488625118744244,66,2.033290933679873,44,1.7296949403321775,562,0.28872228113595666,201,0.6443048715695019,10,2.4824917382723637,2,0.963556088267265,2,2.0564042594320107,4,2.0716728399569893,93,0.32477328760916196,6,4.292314921622848,15,2.76813762309183,21,0.1529314904910555,82,1.5156297328452892,13606.0
VASCO DE QUIROGA,GUSTAVO A. MADERO,19.495441361,-99.093922913,4,1.9873562812077423,177,1.7565922926857909,26,1.4973529155097245,96,2.586610149944101,9,1.386803894279323,106,1.3124118127717253,17,1.0752187590233582,56,3.3110236445614634,47,1.6992875402596164,43,3.3312456581754253,20,5.01842819640672,308,0.34873908954140254,74,3.850336961036912,72,2.6232572971828785,428,1.8832200933146928,10,3.4799814353230984,20412.5
VALLEJO PONIENTE,GUSTAVO A. MADERO,19.467864606,-99.141462553,38,0.8876986500805792,283,0.24988212058720957,27,1.0020994674341699,25,0.9884156200828818,3,0.8248702799530807,590,0.34787057988395176,263,0.7649245649708717,41,3.4716814303788217,64,0.45651255547748254,1,1.7745254287676968,12,3.1326873528639063,44,0.672263560291601,6,3.904303815911896,50,0.8219245481595009,703,0.47670183209622274,9,1.6421088745312389,33304.5
VALLEJO II,GUSTAVO A. MADERO,19.465373154,-99.129044727,38,1.420589552057887,32,0.39128597112686403,33,0.569258690966444,25,0.6085329505521826,3,0.9527697403259778,357,0.3883622067648458,53,0.3139297234517466,41,2.3171653021868455,64,0.9729411393468124,1,0.7367169903798542,12,2.5411622949540114,62,0.5964765647619077,6,4.444005267130501,33,0.5907593259995052,84,0.40453882718211664,9,0.4455688576264943,20324.0
